user_id,item_id,rating,timestamp
10001,55,5,875072688
10001,203,4,878542231
10001,183,5,875072262
10001,150,5,876892196
10001,68,4,875072688
10001,201,3,878542960
10001,157,4,876892918
10001,184,4,875072956
10001,210,4,878542909
10001,163,4,875072442
10001,271,2,887431672
10001,146,4,875071561
10001,176,5,876892468
10001,144,4,875073180
10001,53,3,876893206
10001,160,4,875072547
10001,33,4,878542699
10001,44,5,878543541
10001,97,3,875073128
10001,14,5,874965706
10001,263,1,875693007
10001,4,3,876893119
10001,17,3,875073198
10001,265,4,878542441
10001,25,4,875071805
10001,37,2,878543030
10001,251,4,875071843
10001,195,5,876892855
10001,148,2,875240799
10001,179,3,875072370
10001,158,3,878542699
10001,242,5,889751633
10001,153,3,876893230
10001,42,5,876892425
10001,101,2,878542845
10001,168,5,874965478
10001,128,4,875072573
10001,26,3,875072442
10001,123,4,875071541
10001,208,5,878542960
10001,248,4,874965954
10001,119,5,876893098
10001,135,4,875072404
10001,191,5,875072956
10001,187,4,874965678
10001,139,3,878543216
10001,166,5,874965677
10001,12,5,878542960
10001,90,4,878542300
10001,43,4,878542869
10001,78,1,878543176
10001,165,5,874965518
10001,116,3,878542960
10001,197,5,875072956
10001,198,5,878542717
10001,81,5,875072865
10001,258,5,878873389
10001,173,5,878541803
10001,47,4,875072125
10001,124,5,875071484
10001,233,2,878542552
10001,95,4,875072303
10001,213,2,876892896
10001,96,5,875072716
10001,217,3,876892676
10001,61,4,878542420
10001,185,4,875072631
10001,58,4,878542960
10001,63,2,878543196
10001,112,1,878542441
10001,30,3,878542515
10001,212,4,875072895
10001,262,3,875071421
10001,108,5,875240920
10001,138,1,878543006
10001,259,1,875692979
10001,247,1,875241619
10001,209,4,888732908
10001,89,5,875072484
10001,189,3,888732928
10001,218,3,876892856
10001,149,2,878542791
10001,2,3,876893171
10001,7,4,875071561
10001,107,4,875241619
10001,34,2,878542869
10001,268,5,875692927
10001,175,5,875072547
10001,75,4,878543238
10001,51,4,878543275
10001,151,4,875072865
10001,143,1,875072631
10001,240,3,875071898
10001,142,2,878543238
10001,21,1,878542772
10001,48,5,875072520
10001,24,3,875071713
10001,267,4,875692955
10001,54,3,878543308
10001,169,5,878543541
10001,118,3,875071927
10001,192,4,875072547
10001,178,5,878543541
10001,5,3,889751712
10001,103,1,878542845
10001,243,1,875241390
10001,87,5,878543541
10001,238,4,875072235
10001,156,4,874965556
10001,255,2,885345822
10001,46,4,876893230
10001,154,5,878543541
10001,214,4,875072520
10001,130,3,875072002
10001,241,4,878543133
10001,226,3,878543176
10001,100,5,878543541
10001,171,5,889751711
10001,86,5,878543541
10001,65,4,875072125
10001,66,4,878543030
10001,73,3,876892774
10001,77,4,876893205
10001,224,5,875071484
10001,23,4,875072895
10001,110,1,878542845
10001,36,2,875073180
10001,230,4,878542420
10001,161,4,875072303
10001,162,4,878542420
10001,41,2,876892818
10001,190,5,875072125
10001,199,4,875072262
10001,164,3,876893171
10001,57,5,878542459
10001,50,5,874965954
10001,39,4,875072173
10001,196,5,874965677
10001,113,5,878542738
10001,202,5,875072442
10001,106,4,875241390
10001,253,5,874965970
10001,129,5,887431908
10001,170,5,876892856
10001,38,3,878543075
10001,9,5,878543541
10001,127,5,874965706
10001,257,4,874965954
10001,252,2,875240677
10001,20,4,887431883
10001,136,3,876893206
10001,16,5,878543541
10001,200,3,876893098
10001,236,4,875071898
10001,246,5,874965905
10001,232,3,878543196
10001,219,1,878542327
10001,261,1,875692992
10001,264,2,875071713
10001,181,5,874965739
10001,45,5,875241687
10001,222,4,878873388
10001,193,4,876892654
10001,79,4,875072865
10001,22,4,875072404
10001,180,3,875072573
10001,69,3,875072262
10001,223,5,876892918
10001,167,2,878542383
10001,115,5,878541637
10001,71,3,876892425
10001,227,4,876892946
10001,62,3,878542282
10001,254,1,878541392
10001,10,3,875693118
10001,182,4,875072520
10001,237,2,875071749
10001,11,2,875072262
10001,109,5,874965739
10001,91,5,876892636
10001,35,1,878542420
10001,85,3,875073180
10001,137,5,875071541
10001,188,3,875073128
10001,102,2,889751736
10001,250,4,874965706
10001,131,1,878542552
10001,245,2,875071713
10001,72,4,878542678
10001,67,3,876893054
10001,249,4,874965970
10001,266,1,885345728
10001,272,3,887431647
10001,56,4,875072716
10001,82,5,878542589
10001,32,5,888732909
10001,159,3,875073180
10001,29,1,878542869
10001,122,3,875241498
10001,121,4,875071823
10001,40,3,876893230
10001,83,3,875072370
10001,205,3,878542909
10001,145,2,875073067
10001,126,2,875071713
10001,114,5,875072173
10001,125,3,878542960
10001,132,4,878542889
10001,155,2,878542201
10001,231,1,876893031
10001,74,1,889751736
10001,174,5,875073198
10001,120,1,875241637
10001,234,4,876892355
10001,228,5,878543541
10001,204,5,875072688
10001,133,4,876892818
10001,140,1,878543133
10001,270,5,888732827
10001,225,2,878542738
10001,3,4,878542960
10001,229,4,878542075
10001,256,4,889751712
10001,235,5,875071589
10001,152,5,878542589
10001,1,5,874965758
10001,99,3,875072547
10001,141,3,878542608
10001,207,5,875073067
10001,147,3,875240993
10001,80,4,876893008
10001,244,2,887431973
10001,92,3,876892425
10001,239,4,878542845
10001,19,5,875071515
10001,105,2,875240739
10001,134,4,875073067
10001,260,1,875071713
10001,215,3,876893145
10001,172,5,874965478
10001,194,4,876892743
10001,27,2,876892946
10001,31,3,875072144
10001,94,2,875072956
10001,64,5,875072404
10001,88,4,878542791
10001,221,5,887431921
10001,52,4,875072205
10001,177,5,876892701
10001,76,4,878543176
10001,269,5,877482427
10001,28,4,875072173
10001,13,5,875071805
10001,49,3,878542478
10001,70,3,875072895
10001,117,3,874965739
10001,60,5,875072370
10001,111,5,889751711
10001,206,4,876893205
10001,15,5,875071608
10001,84,4,875072923
10001,211,3,878541970
10001,18,4,887432020
10001,93,5,875071484
10001,59,5,876892817
10001,98,4,875072404
10001,6,5,887431973
10001,104,1,875241619
10001,220,3,875241390
10001,216,5,876892701
10001,186,4,875073128
10001,8,1,875072484
10002,303,4,888550774
10002,316,5,888979693
10002,237,4,888552017
10002,282,4,888551922
10002,257,4,888551062
10002,273,4,888551647
10002,292,4,888550774
10002,277,4,888551174
10002,300,4,888979197
10002,255,4,888551341
10002,274,3,888551497
10002,285,5,888552084
10002,309,1,888980029
10002,100,5,888552084
10002,315,1,888550774
10002,307,3,888550066
10002,25,4,888551648
10002,127,5,888552084
10002,306,4,888550774
10002,258,3,888549961
10002,291,3,888551647
10002,275,5,888550939
10002,314,1,888980085
10002,111,4,888551853
10002,308,3,888979945
10002,310,4,888979061
10002,286,4,888549960
10002,10,2,888551853
10002,295,4,888551164
10002,1,4,888550871
10002,302,5,888552084
10002,294,1,888551648
10002,311,5,888552084
10002,276,4,888551552
10002,251,5,888552084
10002,283,5,888552084
10002,269,4,888550774
10002,288,3,888550252
10002,293,4,888550939
10002,297,4,888550871
10002,19,3,888550871
10002,304,4,888979197
10002,284,4,888552017
10002,299,4,888550774
10002,298,3,888551441
10002,13,4,888551922
10002,296,3,888550871
10002,50,5,888552084
10002,301,4,888550631
10002,305,3,888550065
10002,289,3,888979353
10002,280,3,888551441
10002,279,4,888551745
10002,313,5,888552084
10002,287,3,888551235
10002,14,4,888551853
10002,242,5,888552084
10002,312,3,888550631
10002,272,5,888979061
10002,290,3,888551441
10002,278,3,888551647
10002,281,3,888980240
10003,334,3,889237122
10003,328,5,889237455
10003,352,2,889237055
10003,268,3,889236961
10003,335,1,889237269
10003,245,1,889237247
10003,350,3,889237076
10003,326,2,889237224
